Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Cuba;CUB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curacao;CUW;;;;;;;;;;;;;;;;;;;;;;70502234,64;69702234,64;-1508379,888;69296089,39;146435754,2;133083798,9;172681564,2;126924996,8;203230453,6;155743256,3;170912620,1;175616794,9;136602563,6;154808190
Cayman Islands;CYM;49040000;-8540000;27490000;459760000;467070000;50310000;1231710000;3150870000;4354110000;6475830000;9358723000;2133108000;2802975000;2602570000;3703461000;9506484000;24820937000;28210535000;19555735000;20298045000;20965962640;31131855110;21489604740;34907994320;46040609770;80501525460;2684234739;2506466934;173644548,8;1080420249;6973848228;-807807825,1;-3144736443;6786752964;35901883940
Cyprus;CYP;126615461,4;81820990,74;107441112,7;83432989,4;75174068,6;243136818,6;233749453,8;546519214,6;345398143,2;813054280,1;854874285,7;944742874;1103449726;908147518;1118841809;1161973511;1871897927;2294635571;12403669190;65815356285;32320291309;41942439662;72602027644;25898129367;54154887264;27319647777;3331071356;42234145948;79087120911;1,13114E+11;-75646450885;6626435042;53889706,6;-21298312528;-18587645675
Czechia;CZE;;;;654278424,7;878231739,7;2567564642;1435279128;1286492873;3700169388;6312596676;4987079129;5640707236;8496609036;2021275746;6423465151;13730164683;7132002408;13815656004;8815393022;5271613702;10167834375;4188736491;9433199805;7357578653;8088661930;1699914617;10850612308;11234740946;8324668391;10752120871;8515481808;12890950336;9143600295;11891578043;13051379573
Germany;DEU;2556702846;4741546059;-2137482963;477658764,4;7517424677;12040789985;15590587107;18638428446;29525738646;86035665071;2,48007E+11;56948542387;51268214891;65401516009;-20408419557;59835195025;87444159239;50847183837;30954735498;56701916795;86037502102;97535403953;65443087632;67199694459;17356720098;62418993509;58132711371;1,08787E+11;1,62251E+11;75463438451;1,76781E+11;1,2761E+11;87215414562;77438957875;47599143489
Djibouti;DJI;60000;2290106,403;2290106,403;1423579,656;1423579,656;3218527,917;3263542,294;3100365,179;3173513,541;3212901,12;3286049,482;3392958,626;3432346,206;14224542,96;38543559,85;22203341,19;108287709,4;195351140,3;227654582,2;96859684,56;36501032,52;79000230,7;109998255,7;286004467,7;152998238,8;143832186,4;159997974,4;164929862;170000000;174999015,3;158230011;166750130,8;187022847,6;137009451;67819948,25
Dominica;DMA;12888888,89;15222222,22;20411111,11;13200000;22600000;54092592,59;17800000;21114814,81;6511111,111;17955555,56;17530960,34;14634125,63;20055378,18;31342402,24;25775900,05;18910614,22;26177000,04;40388728,65;56214627,56;56770072,17;57125819,44;50468508,44;56319360,09;38680839,41;12346929,84;7160376,509;42264926,11;22677207,69;78283172,03;63039788,52;22837135,93;28338715,19;16922305,56;47612624,44;36796264,07
Denmark;DNK;1132146350;1552515351;1017385349;1712766178;5006178362;4139423320;773444115,8;2791671359;6674661469;16847919226;36013297907;9286404806;4430703179;1184825160;-8804165491;12847031342;2385249288;11809448518;2191215666;3779250819;-11501101751;13558894634;-16349825685;680338945,9;6577348987;1842994663;7804020827;3607276300;8764023726;-3801733789;1294050740;16997286703;27627359889;8951417794;18540782142
Dominican Republic;DOM;132800000;145000000;179700000;190700000;208100000;417400000;134200000;408700000;668900000;1344900000;989000000;1087900000;926000000;616530000;934480000;1118400000;1528700000;2252900000;2728400000;1695300000;1820200000;2197500000;3415900000;1599900000;2385300000;2227300000;2516100000;3597900000;2744500000;2829200000;2460600000;3349700000;4050000000;4750500000;4475900000
